ranking,tv_names,tv_ratings,no_of_votes,release_year,no_of_episodes
1,Breaking Bad,9.5,2000000,2008,62
2,Planet Earth II,9.5,153000,2016,6
3,Planet Earth,9.4,216000,2006,12
4,Band of Brothers,9.4,495000,2001,10
5,Chernobyl,9.3,821000,2019,5
6,The Wire,9.3,361000,2002,60
7,Avatar: The Last Airbender,9.3,343000,2005,62
8,Blue Planet II,9.3,44000,2017,7
9,The Sopranos,9.2,439000,1999,86
10,Cosmos: A Spacetime Odyssey,9.3,126000,2014,13
11,Cosmos,9.3,43000,1980,13
12,Our Planet,9.3,48000,2019,12
13,Game of Thrones,9.2,2200000,2011,73
14,The World at War,9.2,27000,1973,26
15,Rick and Morty,9.1,568000,2013,66
16,Bluey,9.4,20000,2018,171
17,Fullmetal Alchemist: Brotherhood,9.1,186000,2009,68
18,The Last Dance,9.1,142000,2020,10
19,Life,9.1,42000,2009,11
20,The Twilight Zone,9.1,89000,1959,156
21,Sherlock,9.1,967000,2010,15
22,The Vietnam War,9.1,27000,2017,10
23,Batman: The Animated Series,9.0,111000,1992,85
24,Attack on Titan,9.0,439000,2013,98
25,Scam 1992: The Harshad Mehta Story,9.3,152000,2020,10
26,The Office,9.0,666000,2005,188
27,Arcane,9.0,243000,2021,10
28,The Blue Planet,9.0,42000,2001,8
29,Better Call Saul,9.0,605000,2015,63
30,Human Planet,9.0,27000,2011,8
31,Firefly,9.0,275000,2002,14
32,Frozen Planet,9.0,32000,2011,10
33,Clarkson's Farm,9.0,51000,2021,17
34,Death Note,8.9,356000,2006,37
35,Only Fools and Horses,9.0,55000,1981,64
36,The Civil War,9.1,18000,1990,9
37,Hunter x Hunter,9.0,120000,2011,148
38,True Detective,8.9,609000,2014,25
39,Seinfeld,8.9,338000,1989,173
40,Dekalog,9.0,27000,1989,10
41,The Beatles: Get Back,9.0,26000,2021,3
42,Persona,9.0,44000,2018,12
43,Fargo,8.9,389000,2014,51
44,Cowboy Bebop,8.9,131000,1998,26
45,Nathan for You,8.9,36000,2013,32
46,Gravity Falls,8.9,125000,2012,41
47,Last Week Tonight with John Oliver,8.9,93000,2014,330
48,Succession,8.9,236000,2018,39
49,When They See Us,8.9,132000,2019,4
50,Apocalypse: The Second World War,9.0,14000,2009,6
51,Friends,8.9,1000000,1994,234
52,Africa,8.9,17000,2013,7
53,TVF Pitchers,9.1,71000,2015,10
54,It's Always Sunny in Philadelphia,8.8,242000,2005,172
55,Taskmaster,9.0,17000,2015,139
56,Monty Python's Flying Circus,8.8,77000,1969,45
57,As If,9.0,19000,2021,42
58,The West Wing,8.9,82000,1999,155
59,Das Boot,8.8,32000,1985,3
60,Curb Your Enthusiasm,8.8,137000,2000,111
61,Leyla and Mecnun,9.1,95000,2011,144
62,Fawlty Towers,8.8,98000,1975,12
63,One Piece,8.9,193000,1999,1084
